"touchX","touchY","deviceWidth","deviceHeight"
"0.0250","0.0500","300","250"
"0.0717","0.6700","300","250"
"0.1317","0.7660","300","250"
"0.0481","0.7743","300","250"
"0.0667","0.2000","300","250"
"0.2600","0.8920","300","250"
"0.0731","0.6544","300","250"
"0.1567","0.7320","300","250"
"0.1222","0.2667","300","250"
"0.0315","0.5906","300","250"
"0.5733","0.4720","300","250"
"0.1967","0.9120","300","250"
"0.7622","0.4853","300","250"
"0.4167","0.6280","300","250"
"0.1222","0.2667","300","250"
"0.0333","0.0640","300","250"
"0.1884","0.5817","300","250"
"0.4100","0.7600","300","250"
"0.3159","0.3369","300","250"
"0.0333","0.0640","300","250"
"0.2695","0.9822","300","250"
"0.9367","0.0560","300","250"
"0.0000","0.6760","300","250"
"0.8133","0.3200","300","250"
"0.4867","0.4520","300","250"
"0.0931","0.3149","300","250"
"0.1596","0.8723","300","250"
"0.0856","0.3307","300","250"
"0.1663","0.7006","300","250"
"0.0667","0.2000","300","250"
"0.0257","0.0059","300","250"
"0.2662","0.7264","300","250"
"0.0900","0.4320","300","250"
"0.0250","0.0500","300","250"
"0.0250","0.0500","300","250"
"0.0250","0.0500","300","250"
"0.3128","0.5545","300","250"
"0.2900","0.4120","300","250"
"0.0177","0.9321","300","250"
"0.1233","0.9040","300","250"
"0.1900","0.4880","300","250"
"0.4504","0.7239","300","250"
"0.1867","0.6760","300","250"
"0.8733","0.4120","300","250"
"0.0467","0.5440","300","250"
"0.1644","0.9893","300","250"
"0.2595","0.2647","300","250"
"0.2462","0.1369","300","250"
"0.0565","0.5750","300","250"
"0.1663","0.7184","300","250"
"0.0644","0.9707","300","250"
"0.0250","0.0500","300","250"
"0.3677","0.5305","300","250"
"0.4800","0.4480","300","250"
"0.0967","0.1320","300","250"
"0.3633","0.5840","300","250"
"0.3775","0.9711","300","250"
"0.3192","0.7393","300","250"
"0.5188","0.2595","300","250"
"0.4350","0.6740","300","250"
"0.4678","0.6640","300","250"
"0.2333","0.2520","300","250"
"0.0667","0.2000","300","250"
