"deviceWidth","deviceHeight","touchX","touchY"
"320","50","0.8399","0.8668"
"320","50","0.8844","0.6000"
"320","50","0.1497","0.9734"
"320","50","0.1437","0.9600"
"320","50","0.4281","0.5400"
"320","50","0.2344","0.9400"
"320","50","0.9953","0.3700"
"320","50","0.5031","0.1600"
"320","50","0.5687","0.5200"
"320","50","0.5906","0.2600"
"320","50","0.5125","0.1200"
"320","50","0.4906","0.1000"
"320","50","0.9594","0.4800"
"320","51","0.8875","0.5686"
"320","50","0.3015","0.2154"
"320","50","0.0969","0.2600"
"320","50","0.6987","0.0154"
"320","50","0.9096","0.3336"
"320","50","0.6625","0.4600"
"","","",""
"","","",""
"320","50","0.6494","0.4016"
"320","50","0.9539","0.2850"
"320","50","0.7695","0.7451"
"","","",""
"","","",""
"320","50","0.3563","0.3800"
"","","",""
"320","50","0.0140","0.9001"
"320","50","0.5281","0.6000"
"320","50","0.8831","0.1882"
"","","",""
"","","",""
"320","51","0.5531","0.5882"
"320","50","0.3469","0.3400"
"320","50","0.6656","0.8800"
"","","",""
"320","50","0.1021","0.7333"
"320","50","0.6094","0.0800"
"320","50","0.4220","0.6702"
"320","50","0.4000","0.2400"
"320","51","0.4281","0.0000"
"320","50","0.0077","0.6011"
"320","50","0.7469","0.5400"
"320","50","0.6594","0.0400"
"","","",""
"","","",""
"","","",""
"320","51","0.0063","0.1961"
"","","",""
"640","360","0.1094","0.0111"
"320","50","0.9969","0.2400"
"","","",""
"320","50","0.8969","0.4800"
"320","50","0.3563","0.0200"
"320","50","0.0031","0.0800"
"","","",""
"320","50","0.5507","0.3712"
"320","50","0.5271","0.6933"
"320","50","0.9531","0.8000"
"320","50","0.3987","0.4660"
"320","50","0.8750","0.4200"
"320","50","0.8777","0.2395"
"320","50","0.4912","0.0842"
"320","50","0.1062","0.5200"
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"320","50","0.9332","0.1565"
"320","50","0.1542","0.1867"
"","","",""
"320","50","0.8438","0.4400"
"320","50","0.9167","0.5067"
"320","50","0.2474","0.8402"
"320","50","0.1372","0.3906"
"320","50","0.1388","0.7802"
"320","51","0.9063","0.3137"
"320","50","0.7750","0.1800"
"320","50","0.8562","0.7800"
"320","50","0.1625","0.6200"
"","","",""
"320","50","0.8375","0.2000"
"320","50","0.1271","0.1333"
"320","50","0.9033","0.7210"
"320","50","0.9615","0.2533"
"320","50","0.8500","0.9000"
"","","",""
"320","50","0.4089","0.3142"
"320","50","0.8750","0.7200"
"320","50","0.3312","0.3600"
"320","50","0.8807","0.6793"
"320","50","0.7594","0.6600"
"320","50","0.9036","0.5093"
"320","50","0.8688","0.1800"
"320","50","0.9190","0.6044"
"320","50","0.5574","0.7597"
"320","50","0.5490","0.2539"
"","","",""
"320","50","0.0656","0.3400"
"320","50","0.4977","0.0399"
"320","50","0.1406","0.0200"
"","","",""
"320","50","0.4635","0.6533"
"320","50","0.2562","0.0400"
"320","50","0.6750","0.3600"
"320","50","0.5000","0.2200"
"320","50","0.5469","0.5400"
"320","50","0.8149","0.8692"
"320","50","0.1622","0.7332"
"320","50","0.6737","0.3879"
"320","50","0.8960","0.6767"
"320","50","0.9563","0.1400"
"320","50","0.6469","0.8800"
"","","",""
"320","50","0.9187","0.8800"
"320","50","0.0031","0.0200"
"320","50","0.0125","0.6800"
"320","50","0.8942","0.2297"
"320","50","0.1531","0.2600"
"320","50","0.9125","0.5400"
"320","50","0.3865","0.2333"
"320","50","0.1419","0.3090"
"","","",""
"320","50","0.8566","0.2909"
"320","50","0.2719","0.7000"
"320","50","0.4727","0.6203"
"320","50","0.3594","0.4400"
"320","50","0.8840","0.7586"
"320","50","0.9845","0.0213"
"320","50","0.3656","0.0000"
"320","50","0.9250","0.2800"
"","","",""
"320","50","0.7594","0.0000"
"320","50","0.2844","0.1000"
"","","",""
"320","51","0.2313","0.5882"
"320","50","0.3603","0.6092"
"320","50","0.8798","0.9181"
"320","50","0.9656","0.6600"
"320","50","0.5800","0.8967"
"320","50","0.6422","0.4500"
"320","50","0.1039","0.0435"
"","","",""
"320","50","0.6069","0.4681"
"320","50","0.5750","0.7000"
"320","50","0.7678","0.6904"
"320","50","0.9459","0.4972"
"320","50","0.4505","0.3833"
"320","50","0.1417","0.2667"
"320","50","0.8688","0.8600"
"320","50","0.8625","0.9800"
"320","50","0.9713","0.3593"
"320","50","0.1996","0.5903"
"320","50","0.2995","0.9800"
"","","",""
"320","50","0.4500","0.3600"
"320","50","0.4813","0.0200"
"320","50","0.4696","0.4412"
"","","",""
"320","50","0.9721","0.2963"
"320","50","0.1422","0.2100"
"","","",""
"320","50","0.9252","0.6179"
"320","50","0.2969","0.0200"
"320","50","0.9406","0.4000"
"320","50","0.5687","0.0600"
"","","",""
"320","50","0.8656","0.5000"
"320","50","0.8094","0.7000"
"320","50","0.5094","0.4200"
"320","50","0.9031","0.1000"
"320","50","0.8509","0.0613"
"320","50","0.5141","0.1100"
"320","50","0.7375","0.3200"
"320","50","0.0031","0.7200"
"","","",""
"320","50","0.8583","0.3895"
"320","50","0.6397","0.4728"
"","","",""
"320","50","0.2813","0.0400"
"320","50","0.3009","0.2497"
"320","50","0.8625","0.9600"
"","","",""
"320","50","0.7750","0.4200"
"","","",""
"","","",""
"","","",""
"","","",""
"320","50","0.1240","0.9933"
"320","50","0.9105","0.2898"
"320","50","0.0063","0.4800"
"320","50","0.6469","0.3600"
"320","50","0.1281","0.4200"
"320","50","0.9812","0.3600"
"320","50","0.0219","0.4800"
"320","50","0.2656","0.3200"
"320","50","0.0938","0.7200"
"320","50","0.1496","0.7760"
"320","50","0.8969","0.6800"
"320","50","0.8797","0.9700"
"","","",""
"360","592","0.6699","0.4836"
"320","50","0.8721","0.5380"
"","","",""
"320","50","0.4984","0.0700"
"","","",""
"","","",""
"320","50","0.9052","0.0684"
"320","50","0.5882","0.4494"
"320","50","0.9437","0.1400"
"","","",""
"320","50","0.0976","0.0977"
"","","",""
"320","50","0.8750","0.1000"
"","","",""
"320","50","0.1906","0.5200"
"320","50","0.6798","0.2099"
"320","50","0.5601","0.1398"
"","","",""
"320","50","0.3445","0.5194"
"320","50","0.9250","0.8000"
"","","",""
"","","",""
"320","50","0.1083","0.5467"
"320","50","0.0187","0.0200"
"320","50","0.9083","0.6691"
"320","50","0.5406","0.4800"
"320","50","0.7787","0.2497"
"","","",""
"320","50","0.9688","0.9200"
"320","50","0.9063","0.3400"
"320","50","0.5406","0.0800"
"","","",""
"320","50","0.9094","0.1000"
"","","",""
"320","50","0.1528","0.6133"
"320","50","0.8938","0.9600"
"320","50","0.5563","0.4000"
"320","50","0.8652","0.8249"
"","","",""
