"deviceWidth","deviceHeight","touchX","touchY"
"300","250","0.4655","0.6423"
"300","250","0.2372","0.4326"
"300","250","0.5422","0.7493"
"300","250","0.0333","0.0640"
"300","250","0.8033","0.5520"
"300","250","0.4559","0.9443"
"300","250","0.0600","0.6920"
"300","250","0.2767","0.7720"
"300","250","0.0250","0.0500"
"300","250","0.4350","0.4580"
"300","250","0.2133","0.6160"
"300","250","0.0267","0.7640"
"300","250","0.3667","0.9840"
"300","250","0.1564","0.4964"
"300","250","0.4945","0.4434"
"300","250","0.0800","0.8000"
"300","250","0.0022","0.8827"
"300","250","0.0833","0.7160"
"300","250","0.1178","0.8693"
"300","250","0.1550","0.5580"
"300","250","0.1267","0.2000"
"300","250","0.4043","0.8003"
"300","250","0.3567","0.7560"
"320","240","0.4156","0.2625"
"300","250","0.0167","0.0320"
"300","250","0.2433","0.4520"
"300","250","0.3693","0.3847"
"300","250","0.1450","0.9700"
"300","250","0.3633","0.5160"
"300","250","0.2300","0.5640"
"300","250","0.0917","0.6740"
"300","250","0.1846","0.6266"
"320","240","0.6875","0.2625"
"300","250","0.1000","0.8880"
"300","250","0.2033","0.3800"
"300","250","0.1513","0.2468"
"300","250","0.0511","0.9867"
"300","250","0.0250","0.0500"
"300","250","0.2733","0.5560"
"300","250","0.0681","0.8323"
"300","250","0.1267","0.2000"
"300","250","0.0250","0.0500"
"300","250","0.0333","0.0640"
"300","250","0.1563","0.0669"
"300","250","0.0398","0.9183"
"300","250","0.1833","0.2360"
"300","250","0.0167","0.0320"
"300","250","0.8737","0.7391"
"300","250","0.0167","0.0320"
"300","250","0.5624","0.4887"
"300","250","0.1946","0.4147"
"300","250","0.1047","0.0410"
"300","250","0.0732","0.6283"
"300","250","0.5333","0.5000"
"300","250","0.0250","0.0500"
"300","250","0.3644","0.2027"
"300","250","0.1067","0.5480"
"300","250","0.3378","0.1093"
"300","250","0.0250","0.0500"
"300","250","0.4110","0.5166"
"300","250","0.0167","0.0320"
"300","251","0.2933","0.2390"
"300","250","0.0881","0.6725"
"300","250","0.0311","0.7667"
"300","250","0.2895","0.4646"
"300","250","0.0250","0.0500"
"300","250","0.3560","0.3587"
"300","250","0.0664","0.9098"
"300","250","0.0381","0.4766"
"300","250","0.0233","0.6440"
"300","250","0.9291","0.6776"
"300","250","0.1813","0.5626"
"300","250","0.0300","0.7200"
"300","250","0.1167","0.9320"
"300","250","0.0167","0.0320"
"300","250","0.7033","0.3320"
"300","250","0.5533","0.5400"
"300","250","0.0864","0.6485"
"300","250","0.0711","0.1333"
"300","250","0.0500","0.6120"
"300","250","0.0433","0.2080"
"300","250","0.8249","0.4088"
"300","250","0.3033","0.4320"
"300","250","0.2097","0.7096"
"300","250","0.3333","0.4520"
"300","250","0.6723","0.2288"
"300","251","0.8494","0.5040"
"300","250","0.3610","0.7284"
"300","250","0.1663","0.4866"
"300","250","0.0250","0.0500"
"300","250","0.2533","0.9600"
"300","250","0.2300","0.7960"
"300","250","0.0567","0.5840"
"300","250","0.3193","0.5713"
"300","250","0.0417","0.4380"
"300","250","0.3222","0.0613"
"300","250","0.0933","0.2600"
"300","250","0.0833","0.2440"
"300","250","0.0953","0.4326"
"300","250","0.5674","0.6924"
"300","250","0.0243","0.0704"
"300","250","0.0167","0.0320"
"300","250","0.6209","0.3341"
"300","250","0.1871","0.4581"
"300","250","0.0167","0.0320"
"300","250","0.0633","0.3320"
"300","250","0.0333","0.0640"
"300","250","0.2067","0.5480"
"300","250","0.7367","0.7560"
"300","250","0.0250","0.0500"
"300","250","0.5807","0.7444"
"300","250","0.0354","0.1451"
"300","250","0.1800","0.2640"
"300","250","0.0333","0.0640"
"300","250","0.3414","0.6643"
"300","250","0.7183","0.7660"
"300","250","0.0448","0.7324"
"300","250","0.0250","0.0500"
"300","250","0.1070","0.3353"
"300","250","0.1108","0.8349"
"300","250","0.2000","0.3480"
"300","250","0.2211","0.3253"
"300","250","0.6893","0.9641"
"300","250","0.6633","0.0560"
"300","250","0.6400","0.7360"
"300","250","0.1019","0.7873"
"300","250","0.2633","0.5400"
"300","250","0.8600","0.9200"
"300","250","0.2850","0.8020"
"300","250","0.3344","0.6605"
"300","250","0.1804","0.6930"
"300","250","0.0167","0.0320"
"300","250","0.2600","0.6720"
"300","250","0.1767","0.8240"
"300","250","0.9556","0.0373"
"300","250","0.4467","0.2040"
"300","250","0.1500","0.1280"
"300","250","0.0133","0.4680"
"300","250","0.0250","0.0500"
"300","250","0.6733","0.8160"
"300","250","0.0500","0.6440"
"300","250","0.5900","0.2320"
"300","250","0.0250","0.0500"
"300","250","0.1267","0.2000"
"300","250","0.1578","0.8053"
"300","250","0.9336","0.6194"
"300","250","0.5133","0.3280"
"300","250","0.0250","0.0500"
"300","250","0.0331","0.2588"
"300","250","0.5308","0.1409"
"300","250","0.1822","0.2667"
"300","250","0.7872","0.3582"
"300","250","0.1264","0.1448"
"300","250","0.1730","0.4127"
"300","250","0.1697","0.6683"
"300","250","0.7406","0.3527"
"300","250","0.2711","0.7627"
"","","",""
"300","250","0.0300","0.5440"
"","","",""
"","","",""
"300","250","0.5700","0.7640"
"","","",""
"300","250","0.1347","0.7184"
"300","250","0.0250","0.0500"
"300","250","0.1933","0.6459"
"300","250","0.2364","0.7016"
"300","250","0.0250","0.0500"
"300","250","0.1000","0.9480"
"300","250","0.2417","0.9940"
"300","250","0.0065","0.4486"
"300","251","0.0376","0.0748"
"300","250","0.5676","0.6591"
"300","250","0.2528","0.5586"
"300","250","0.0250","0.0500"
"300","250","0.1380","0.8483"
"300","250","0.1152","0.2756"
"300","250","0.0125","0.0250"
"300","250","0.1633","0.8000"
"300","250","0.3983","0.8140"
"300","250","0.1075","0.0450"
"300","250","0.0250","0.0500"
"300","250","0.1200","0.9160"
"300","250","0.2733","0.0160"
"300","250","0.2885","0.0832"
"300","250","0.0310","0.5313"
"300","250","0.0250","0.0500"
"300","250","0.0177","0.5285"
"300","250","0.0333","0.0640"
"300","250","0.0333","0.0640"
"300","250","0.6156","0.5387"
"300","250","0.4745","0.4221"
"300","250","0.5241","0.7864"
"300","250","0.0600","0.4800"
"300","250","0.2878","0.5805"
"300","250","0.0333","0.0640"
"300","250","0.1320","0.9455"
"300","250","0.4807","0.8081"
"300","250","0.4622","0.3733"
"300","250","0.1247","0.1388"
"300","250","0.3194","0.6266"
"300","250","0.0992","0.9218"
"300","250","0.1700","0.5480"
"300","250","0.1130","0.6350"
"300","250","0.1529","0.9069"
"300","250","0.0089","0.9653"
"300","250","0.0564","0.8223"
"300","250","0.2183","0.8780"
"300","250","0.8778","0.2973"
"300","250","0.1374","0.4006"
"300","250","0.1267","0.2000"
"300","250","0.1667","0.0080"
"300","250","0.8454","0.5892"
"300","250","0.8200","0.2640"
"300","250","0.1147","0.4706"
"300","250","0.0250","0.0500"
"300","250","0.2733","0.9680"
"300","250","0.1417","0.9220"
"300","250","0.0250","0.0500"
"300","250","0.0700","0.3400"
"300","250","0.2012","0.4986"
"300","250","0.3067","0.6640"
