"executed","deviceWidth","deviceHeight","touchX","touchY"
"1","300","250","0.91","0.12"
"1","300","250","0.33","0.41"
"1","300","250","0.13","0.20"
"1","300","250","0.46","0.75"
"1","300","250","0.56","0.70"
"1","300","250","0.50","0.50"
"1","300","250","0.64","0.04"
"1","300","250","0.13","0.23"
"1","300","250","0.29","0.87"
"1","300","250","0.03","0.06"
"1","300","250","0.33","0.63"
"1","300","250","0.00","0.27"
"1","300","250","0.06","0.23"
"1","300","250","0.15","0.53"
"1","300","250","0.12","0.80"
"1","300","250","0.12","0.31"
"1","300","250","0.09","0.72"
"1","300","250","0.56","0.28"
"1","300","250","0.01","0.13"
"1","300","250","0.83","0.72"
"1","300","250","0.21","0.26"
"1","300","250","0.75","0.96"
"1","300","250","0.15","0.84"
"1","300","250","0.03","0.05"
"1","300","250","0.13","0.61"
"1","300","250","0.02","0.03"
"1","300","250","0.62","0.30"
"1","300","250","0.20","0.24"
"1","300","250","0.15","0.80"
"1","300","250","0.11","0.34"
"1","300","250","0.19","0.95"
"1","300","250","0.15","0.91"
"1","300","250","0.18","0.67"
"1","300","250","0.16","0.15"
"1","300","250","0.51","0.68"
"1","300","250","0.24","0.14"
"1","300","250","0.24","0.45"
"1","300","250","0.02","0.03"
"1","300","250","0.21","0.78"
"1","300","250","0.03","0.06"
"1","300","250","0.08","0.63"
"1","300","250","0.03","0.05"
"1","300","250","0.67","0.23"
"1","300","250","0.15","0.38"
"1","300","250","0.05","0.77"
"1","300","250","0.24","0.55"
"1","300","250","0.03","0.05"
"1","300","250","0.09","0.48"
"1","300","250","0.11","0.44"
"1","300","250","0.03","0.06"
"1","300","250","0.14","0.64"
"1","300","250","0.07","0.20"
"1","300","250","0.37","0.49"
"1","300","250","0.20","0.63"
"1","300","250","0.03","0.05"
"1","300","250","0.00","0.50"
"1","300","250","0.25","0.62"
"1","300","250","0.03","0.06"
"1","300","250","0.12","0.39"
"1","300","250","0.10","0.55"
"1","300","250","0.33","0.45"
"1","300","250","0.33","0.46"
"1","300","250","0.03","0.05"
"1","300","250","0.03","0.06"
"1","300","250","0.16","0.71"
"1","300","250","0.04","0.90"
"1","300","250","0.07","0.20"
"1","300","250","0.02","0.03"
"1","300","250","0.03","0.05"
"1","300","250","0.47","0.70"
"1","300","250","0.13","0.59"
